Month - Year ,Price for 1 Gram - Nominal ,Price for 1 Gram - 1971 Dollars ,Price for 1 Gram - 2011 Dollars ,Consumer Price Index ,US Dollar in 1971 ,US Dollar in 2011
Oct 2006 ,18.03 ,3.62 ,20.02 ,198.3 ,4.98 ,1.11
Nov 2006 ,20.13 ,4.04 ,22.36 ,198.3 ,4.98 ,1.11
Dec 2006 ,20.86 ,4.19 ,23.17 ,198.3 ,4.98 ,1.11
Jan 2007 ,19.6 ,3.85 ,21.32 ,202.42 ,5.09 ,1.09
Feb 2007 ,21.23 ,4.17 ,23.1 ,202.42 ,5.09 ,1.09
Mar 2007 ,20.47 ,4.02 ,22.27 ,202.42 ,5.09 ,1.09
Apr 2007 ,21.65 ,4.26 ,23.55 ,202.42 ,5.09 ,1.09
May 2007 ,22.23 ,4.37 ,24.19 ,202.42 ,5.09 ,1.09
Jun 2007 ,20.98 ,4.13 ,22.83 ,202.42 ,5.09 ,1.09
Jul 2007 ,20.64 ,4.06 ,22.46 ,202.42 ,5.09 ,1.09
Aug 2007 ,22.0 ,4.33 ,23.94 ,202.42 ,5.09 ,1.09
Sep 2007 ,22.54 ,4.43 ,24.52 ,202.42 ,5.09 ,1.09
Oct 2007 ,23.89 ,4.7 ,25.99 ,202.42 ,5.09 ,1.09
Nov 2007 ,27.04 ,5.32 ,29.42 ,202.42 ,5.09 ,1.09
Dec 2007 ,25.04 ,4.92 ,27.24 ,202.42 ,5.09 ,1.09
Jan 2008 ,28.08 ,5.29 ,29.3 ,211.08 ,5.3 ,1.04
Feb 2008 ,29.72 ,5.6 ,31.01 ,211.08 ,5.3 ,1.04
Mar 2008 ,31.78 ,5.99 ,33.16 ,211.08 ,5.3 ,1.04
Apr 2008 ,28.54 ,5.38 ,29.78 ,211.08 ,5.3 ,1.04
May 2008 ,27.42 ,5.17 ,28.61 ,211.08 ,5.3 ,1.04
Jun 2008 ,29.82 ,5.62 ,31.11 ,211.08 ,5.3 ,1.04
Jul 2008 ,30.14 ,5.68 ,31.45 ,211.08 ,5.3 ,1.04
Aug 2008 ,27.41 ,5.17 ,28.6 ,211.08 ,5.3 ,1.04
Sep 2008 ,25.23 ,4.76 ,26.32 ,211.08 ,5.3 ,1.04
Oct 2008 ,29.05 ,5.48 ,30.31 ,211.08 ,5.3 ,1.04
Nov 2008 ,22.91 ,4.32 ,23.9 ,211.08 ,5.3 ,1.04
Dec 2008 ,26.27 ,4.95 ,27.41 ,211.08 ,5.3 ,1.04
Jan 2009 ,28.32 ,5.34 ,29.54 ,211.14 ,5.31 ,1.04
Feb 2009 ,29.53 ,5.57 ,30.8 ,211.14 ,5.31 ,1.04
Mar 2009 ,31.82 ,6.0 ,33.19 ,211.14 ,5.31 ,1.04
Apr 2009 ,28.27 ,5.33 ,29.49 ,211.14 ,5.31 ,1.04
May 2009 ,29.5 ,5.56 ,30.77 ,211.14 ,5.31 ,1.04
Jun 2009 ,31.73 ,5.98 ,33.09 ,211.14 ,5.31 ,1.04
Jul 2009 ,29.59 ,5.58 ,30.86 ,211.14 ,5.31 ,1.04
Aug 2009 ,31.01 ,5.85 ,32.34 ,211.14 ,5.31 ,1.04
Sep 2009 ,32.3 ,6.09 ,33.69 ,211.14 ,5.31 ,1.04
Oct 2009 ,33.91 ,6.39 ,35.37 ,211.14 ,5.31 ,1.04
Nov 2009 ,35.21 ,6.64 ,36.72 ,211.14 ,5.31 ,1.04
Dec 2009 ,39.17 ,7.38 ,40.85 ,211.14 ,5.31 ,1.04
Jan 2010 ,34.74 ,6.38 ,35.31 ,216.69 ,5.44 ,1.02
Feb 2010 ,33.83 ,6.21 ,34.38 ,216.69 ,5.44 ,1.02
Mar 2010 ,36.53 ,6.71 ,37.13 ,216.69 ,5.44 ,1.02
Apr 2010 ,36.86 ,6.77 ,37.46 ,216.69 ,5.44 ,1.02
May 2010 ,38.57 ,7.08 ,39.2 ,216.69 ,5.44 ,1.02
Jun 2010 ,40.12 ,7.37 ,40.77 ,216.69 ,5.44 ,1.02
Jul 2010 ,38.13 ,7.0 ,38.75 ,216.69 ,5.44 ,1.02
Aug 2010 ,38.97 ,7.16 ,39.61 ,216.69 ,5.44 ,1.02
Sep 2010 ,40.45 ,7.43 ,41.11 ,216.69 ,5.44 ,1.02
Oct 2010 ,43.71 ,8.03 ,44.42 ,216.69 ,5.44 ,1.02
Nov 2010 ,44.69 ,8.21 ,45.42 ,216.69 ,5.44 ,1.02
Dec 2010 ,45.85 ,8.42 ,46.6 ,216.69 ,5.44 ,1.02
Jan 2011 ,43.66 ,7.89 ,43.66 ,220.22 ,5.53 ,1
Feb 2011 ,42.31 ,7.65 ,42.31 ,220.22 ,5.53 ,1
Mar 2011 ,46.14 ,8.34 ,46.14 ,220.22 ,5.53 ,1
Apr 2011 ,47.28 ,8.54 ,47.28 ,220.22 ,5.53 ,1
May 2011 ,49.72 ,8.99 ,49.72 ,220.22 ,5.53 ,1
Jun 2011 ,49.78 ,9 ,49.78 ,220.22 ,5.53 ,1
Jul 2011 ,47.99 ,8.67 ,47.99 ,220.22 ,5.53 ,1
Aug 2011 ,54.97 ,9.93 ,54.97 ,220.22 ,5.53 ,1
Sep 2011 ,60.8 ,10.99 ,60.8 ,220.22 ,5.53 ,1
Oct 2011 ,51.44 ,9.3 ,51.44 ,220.22 ,5.53 ,1
Nov 2011 ,57.29 ,10.35 ,57.29 ,220.22 ,5.53 ,1
Dec 2011 ,53.88 ,9.74 ,53.88 ,220.22 ,5.53 ,1

