Date,Open,High,Low,Close,Volume,Adj Close
2001-01-05,2117.6599999999999,2125.3800000000001,2114.0599999999999,2125.3000000000002,0,2125.3000000000002
2001-01-08,2128.5999999999999,2131.98,2092.0999999999999,2102.0599999999999,0,2102.0599999999999
2001-01-09,2099.3200000000002,2111.0999999999999,2082.8400000000001,2101.1399999999999,0,2101.1399999999999
2001-01-10,2102.0799999999999,2125.6700000000001,2102.0700000000002,2125.6100000000001,0,2125.6100000000001
2001-01-11,2129.6100000000001,2131.3699999999999,2117.0300000000002,2119.1399999999999,0,2119.1399999999999
2001-01-12,2116.8499999999999,2117.73,2100.27,2104.75,0,2104.75
2001-01-15,2097.0900000000001,2097.0900000000001,2030.29,2032.4400000000001,0,2032.4400000000001
2001-01-16,2018.3,2045.95,2007.71,2045.8900000000001,0,2045.8900000000001
2001-01-17,2046.3800000000001,2048.6999999999998,2031.76,2034.5799999999999,0,2034.5799999999999
2001-01-18,2033.6900000000001,2049.3499999999999,2033.5799999999999,2043.1099999999999,0,2043.1099999999999
2001-01-19,2046.5799999999999,2067.8800000000001,2046.54,2065.6100000000001,0,2065.6100000000001
2001-02-05,2069.8600000000001,2072.5500000000002,2005.6800000000001,2008.03,0,2008.03
2001-02-06,1999.72,1999.72,1956.1800000000001,1995.3099999999999,0,1995.3099999999999
2001-02-07,1995.5999999999999,1998.25,1978.5999999999999,1979.9400000000001,0,1979.9400000000001
2001-02-08,1977.5599999999999,1986.9000000000001,1926.4000000000001,1930.1400000000001,0,1930.1400000000001
2001-02-09,1935.1900000000001,1963.3299999999999,1935.1900000000001,1956.97,0,1956.97
2001-02-12,1958.6600000000001,1961.8099999999999,1935.5899999999999,1961.22,0,1961.22
2001-02-13,1962.53,1974.0,1958.99,1963.53,0,1963.53
2001-02-14,1962.74,1966.8399999999999,1956.4200000000001,1963.2,0,1963.2
2001-02-15,1963.45,1966.9200000000001,1944.5599999999999,1946.48,0,1946.48
2001-02-16,1942.05,1942.1199999999999,1911.8699999999999,1941.96,0,1941.96
2001-02-19,1942.5799999999999,1969.3499999999999,1935.6500000000001,1967.55,0,1967.55
2001-02-20,1969.78,1980.3900000000001,1947.26,1953.22,0,1953.22
2001-02-21,1948.4200000000001,1948.4200000000001,1901.2,1909.3299999999999,0,1909.3299999999999
2001-02-22,1901.99,1922.46,1893.78,1907.26,0,1907.26
2001-02-23,1906.9100000000001,1936.6300000000001,1906.55,1936.3499999999999,0,1936.3499999999999
2001-02-26,1940.77,1954.78,1935.55,1954.6900000000001,0,1954.6900000000001
2001-02-27,1956.27,1962.28,1946.98,1962.04,0,1962.04
2001-02-28,1964.3599999999999,1965.02,1950.9300000000001,1959.1800000000001,0,1959.1800000000001
2001-03-01,1959.01,1968.3599999999999,1953.72,1965.1199999999999,0,1965.1199999999999
2001-03-02,1969.0599999999999,1987.3900000000001,1968.96,1985.1099999999999,0,1985.1099999999999
2001-03-05,1991.28,1993.8099999999999,1979.6500000000001,1984.2,0,1984.2
2001-03-06,1986.73,1990.0599999999999,1977.1099999999999,1990.0599999999999,0,1990.0599999999999
2001-03-07,1991.28,1996.8499999999999,1986.04,1991.1800000000001,0,1991.1800000000001
2001-03-08,1990.6400000000001,2002.25,1989.8699999999999,2000.9000000000001,0,2000.9000000000001
2001-03-09,2003.2,2015.5,1999.48,2011.6600000000001,0,2011.6600000000001
2001-03-12,2013.3099999999999,2015.5999999999999,2004.96,2012.55,0,2012.55
2001-03-13,2012.1600000000001,2012.77,1992.1700000000001,1998.7,0,1998.7
2001-03-14,1996.1500000000001,2018.6199999999999,1994.9400000000001,2018.6199999999999,0,2018.6199999999999
2001-03-15,2019.72,2027.3299999999999,2017.5899999999999,2022.5999999999999,0,2022.5999999999999
2001-03-16,2023.03,2024.28,2011.99,2020.24,0,2020.24
2001-03-19,2019.8499999999999,2036.6300000000001,2017.49,2036.6199999999999,0,2036.6199999999999
2001-03-20,2039.55,2045.9400000000001,2037.1700000000001,2045.79,0,2045.79
2001-03-21,2047.6300000000001,2066.3899999999999,2046.4300000000001,2066.3899999999999,0,2066.3899999999999
2001-03-22,2071.1999999999998,2087.5300000000002,2068.1399999999999,2087.5300000000002,0,2087.5300000000002
2001-03-23,2091.1799999999998,2093.9499999999998,2052.5500000000002,2053.54,0,2053.54
2001-03-26,2052.0500000000002,2089.9899999999998,2052.0500000000002,2089.8800000000001,0,2089.8800000000001
2001-03-27,2096.5,2107.3000000000002,2090.9000000000001,2107.2600000000002,0,2107.2600000000002
2001-03-28,2109.75,2112.8800000000001,2096.9200000000001,2106.8699999999999,0,2106.8699999999999
2001-03-29,2107.2199999999998,2111.73,2096.9299999999998,2101.6599999999999,0,2101.6599999999999
2001-03-30,2101.0999999999999,2112.8299999999999,2096.2800000000002,2112.77,0,2112.77
2001-04-02,2117.4499999999998,2126.9699999999998,2114.7800000000002,2125.0799999999999,0,2125.0799999999999
2001-04-03,2127.7800000000002,2129.8299999999999,2109.25,2123.0500000000002,0,2123.0500000000002
2001-04-04,2123.8899999999999,2128.1599999999999,2084.9299999999998,2090.7199999999998,0,2090.7199999999998
2001-04-05,2084.8099999999999,2112.6199999999999,2081.6399999999999,2112.5999999999999,0,2112.5999999999999
2001-04-06,2116.3800000000001,2122.2199999999998,2103.2600000000002,2108.6100000000001,0,2108.6100000000001
2001-04-09,2108.9699999999998,2117.4099999999999,2100.9699999999998,2117.3699999999999,0,2117.3699999999999
2001-04-10,2119.54,2128.5500000000002,2119.3600000000001,2128.48,0,2128.48
2001-04-11,2130.9000000000001,2134.5100000000002,2121.1599999999999,2131.4000000000001,0,2131.4000000000001
2001-04-12,2132.8099999999999,2141.9200000000001,2124.8099999999999,2134.8000000000002,0,2134.8000000000002
2001-04-13,2135.6700000000001,2145.4400000000001,2130.5900000000001,2145.4000000000001,0,2145.4000000000001
2001-04-16,2150.29,2168.0799999999999,2150.29,2168.0599999999999,0,2168.0599999999999
2001-04-17,2173.3000000000002,2177.1599999999999,2163.1900000000001,2176.6799999999998,0,2176.6799999999998
2001-04-18,2177.9899999999998,2179.7399999999998,2167.5900000000001,2172.5599999999999,0,2172.5599999999999
2001-04-19,2172.4299999999998,2175.5700000000002,2148.3099999999999,2172.8699999999999,0,2172.8699999999999
2001-04-20,2173.96,2179.5700000000002,2152.0100000000002,2152.3299999999999,0,2152.3299999999999
2001-04-23,2150.3400000000001,2157.5100000000002,2132.5500000000002,2150.4299999999998,0,2150.4299999999998
2001-04-24,2151.3400000000001,2166.1900000000001,2151.3400000000001,2166.1700000000001,0,2166.1700000000001
2001-04-25,2168.0500000000002,2170.3899999999999,2115.2600000000002,2119.1799999999998,0,2119.1799999999998
2001-04-26,2113.3899999999999,2125.79,2102.8200000000002,2105.0599999999999,0,2105.0599999999999
2001-04-27,2104.0300000000002,2120.8400000000001,2104.0300000000002,2115.1100000000001,0,2115.1100000000001
2001-04-30,2117.1700000000001,2122.5,2111.9499999999998,2119.1799999999998,0,2119.1799999999998
2001-05-08,2119.9000000000001,2138.04,2119.8899999999999,2137.9899999999998,0,2137.9899999999998
2001-05-09,2140.5500000000002,2142.3800000000001,2127.3200000000002,2132.8899999999999,0,2132.8899999999999
2001-05-10,2134.1900000000001,2147.3400000000001,2134.1900000000001,2147.2800000000002,0,2147.2800000000002
2001-05-11,2150.3200000000002,2155.4200000000001,2144.7600000000002,2155.4099999999999,0,2155.4099999999999
2001-05-14,2161.6100000000001,2178.6999999999998,2160.1199999999999,2178.4699999999998,0,2178.4699999999998
2001-05-15,2184.79,2191.0700000000002,2176.79,2191.0599999999999,0,2191.0599999999999
2001-05-16,2195.3600000000001,2199.54,2187.4099999999999,2199.5,0,2199.5
2001-05-17,2201.98,2205.0100000000002,2187.8400000000001,2194.6500000000001,0,2194.6500000000001
2001-05-18,2194.6199999999999,2203.3699999999999,2186.6500000000001,2203.3699999999999,0,2203.3699999999999
2001-05-21,2207.7800000000002,2213.75,2202.7399999999998,2213.5900000000001,0,2213.5900000000001
2001-05-22,2215.77,2218.4499999999998,2205.25,2210.3400000000001,0,2210.3400000000001
2001-05-23,2210.8499999999999,2213.4000000000001,2175.2800000000002,2197.5900000000001,0,2197.5900000000001
2001-05-24,2198.0100000000002,2202.8400000000001,2192.1700000000001,2198.3000000000002,0,2198.3000000000002
2001-05-25,2199.6599999999999,2204.2399999999998,2181.25,2193.5799999999999,0,2193.5799999999999
2001-05-28,2194.4499999999998,2194.8299999999999,2171.6799999999998,2179.6999999999998,0,2179.6999999999998
2001-05-29,2177.6500000000001,2188.7600000000002,2176.5599999999999,2180.2800000000002,0,2180.2800000000002
2001-05-30,2180.6199999999999,2211.21,2180.5300000000002,2211.1999999999998,0,2211.1999999999998
2001-05-31,2217.8699999999999,2222.6500000000001,2208.8800000000001,2214.2600000000002,0,2214.2600000000002
2001-06-01,2216.5599999999999,2223.2600000000002,2212.1599999999999,2219.5900000000001,0,2219.5900000000001
2001-06-04,2223.9099999999999,2229.0500000000002,2222.23,2226.7800000000002,0,2226.7800000000002
